DateTime;Nom du parking;Adresse;Nombre de places disponibles;Nombre de places totales;Pourcentage de places disponibles;Commune;Propriété;proprietaire;Geometry;geo_point_2d;code_insee;coord;dateinfo
2022-12-24T18:19:40+01:00;Polygone;rue des Pertuisanes - 34172 Montpellier;1505;1911;78;Montpellier;Public;Ville de Montpellier;"{""coordinates"": [3.88476539, 43.6083709590577], ""type"": ""Point""}";43.6083709590577,3.88476539;34172;43.6083709590577, 3.88476539;2022-12-24 à 18:19:40+01:00
2022-12-24T18:19:57+01:00;Foch Préfecture;Place des Martyrs de la Resistance - 34172 Montpellier;347;570;60;Montpellier;Public;Ville de Montpellier;"{""coordinates"": [3.87657084, 43.6107491190577], ""type"": ""Point""}";43.6107491190577,3.87657084;34172;43.6107491190577, 3.87657084;2022-12-24 à 18:19:57+01:00
2022-12-24T18:14:53+01:00;Notre Dame de Sablassou;chemin du Pech Saint Peyre - 34057 Castelnau-le-Lez;317;372;85;Castelnau-le-Lez;Public;Montpellier Méditerranée Métropole;"{""coordinates"": [3.92229536, 43.6341919390577], ""type"": ""Point""}";43.6341919390577,3.92229536;34057;43.6341919390577, 3.92229536;2022-12-24 à 18:14:53+01:00
2022-12-24T18:19:58+01:00;Charles de Gaulle;rue du Prado - 34057 Castelnau-le-Lez;252;260;96;Castelnau-le-Lez;Public;Montpellier Méditerranée Métropole;"{""coordinates"": [3.8977621, 43.6285421190577], ""type"": ""Point""}";43.6285421190577,3.8977621;34057;43.6285421190577, 3.8977621;2022-12-24 à 18:19:58+01:00
2022-12-24T18:15:58+01:00;Euromédecine;rue de Chambert - 34172 Montpellier;232;255;90;Montpellier;Public;Montpellier Méditerranée Métropole;"{""coordinates"": [3.82772365, 43.6389535890576], ""type"": ""Point""}";43.6389535890576,3.82772365;34172;43.6389535890576, 3.82772365;2022-12-24 à 18:15:58+01:00
2022-12-24T18:18:14+01:00;Mosson;route de Lodève - 34172 Montpellier;156;350;44;Montpellier;Public;Montpellier Méditerranée Métropole;"{""coordinates"": [3.81966554, 43.6162371590577], ""type"": ""Point""}";43.6162371590577,3.81966554;34172;43.6162371590577, 3.81966554;2022-12-24 à 18:18:14+01:00
2022-12-24T18:23:50+01:00;Gambetta;cours Gambetta - 34172 Montpellier;359;434;82;Montpellier;Public;Ville de Montpellier;"{""coordinates"": [3.87137436, 43.6069513790577], ""type"": ""Point""}";43.6069513790577,3.87137436;34172;43.6069513790577, 3.87137436;2022-12-24 à 18:23:50+01:00
2022-08-01T15:32:58+02:00;Comédie;place de la Comedie - 34172 Montpellier;174;774;22;Montpellier;Public;Ville de Montpellier;"{""coordinates"": [3.87976196, 43.6085609190577], ""type"": ""Point""}";43.6085609190577,3.87976196;34172;43.6085609190577, 3.87976196;2022-08-01 à 15:32:58
2022-12-24T18:19:53+01:00;Arc de Triomphe;rue Foch - 34172 Montpellier;213;450;47;Montpellier;Public;Ville de Montpellier;"{""coordinates"": [3.87320075, 43.6110026690577], ""type"": ""Point""}";43.6110026690577,3.87320075;34172;43.6110026690577, 3.87320075;2022-12-24 à 18:19:53+01:00
2022-06-01T11:46:47+02:00;Multiplexe;avenue Thomas Jefferson - 34172 Montpellier;99;109;90;Montpellier;Privé;Gaumont;"{""coordinates"": [3.91411076, 43.6041524290577], ""type"": ""Point""}";43.6041524290577,3.91411076;34172;43.6041524290577, 3.91411076;2022-06-01 à 11:46:47
2022-12-24T18:17:56+01:00;Viccarello;rue de la Crouzette - 34057 Castelnau-le-Lez;68;88;77;Castelnau-le-Lez;;Castelnau le Lez;"{""coordinates"": [3.89893326519535, 43.6325802442549], ""type"": ""Point""}";43.6325802442549,3.89893326519535;34057;43.6325802442549, 3.89893326519535;2022-12-24 à 18:17:56+01:00
2022-12-24T18:18:53+01:00;Garcia Lorca;avenue de Palavas - 34172 Montpellier;303;395;76;Montpellier;Public;Montpellier Méditerranée Métropole;"{""coordinates"": [3.8907158, 43.5909850890577], ""type"": ""Point""}";43.5909850890577,3.8907158;34172;43.5909850890577, 3.8907158;2022-12-24 à 18:18:53+01:00
2022-12-24T18:19:58+01:00;Occitanie;avenue du Doyen Giraud - 34172 Montpellier;569;627;90;Montpellier;Public;Montpellier Méditerranée Métropole;"{""coordinates"": [3.84859796, 43.6345623190576], ""type"": ""Point""}";43.6345623190576,3.84859796;34172;43.6345623190576, 3.84859796;2022-12-24 à 18:19:58+01:00
2022-12-24T18:23:57+01:00;Corum;rue du Faubourg de Nimes - 34172 Montpellier;287;440;65;Montpellier;Public;Montpellier Méditerranée Métropole;"{""coordinates"": [3.88225773, 43.6138882090577], ""type"": ""Point""}";43.6138882090577,3.88225773;34172;43.6138882090577, 3.88225773;2022-12-24 à 18:23:57+01:00
2022-12-24T18:24:09+01:00;Triangle;rue Foch - 34172 Montpellier;308;436;70;Montpellier;Privé;Indigo;"{""coordinates"": [3.88184418, 43.6092338390577], ""type"": ""Point""}";43.6092338390577,3.88184418;34172;43.6092338390577, 3.88184418;2022-12-24 à 18:24:09+01:00
2022-12-24T18:23:09+01:00;Pitot;rue du Carré du Roi - 34172 Montpellier;433;587;73;Montpellier;Public;Ville de Montpellier;"{""coordinates"": [3.87019117, 43.6122449390577], ""type"": ""Point""}";43.6122449390577,3.87019117;34172;43.6122449390577, 3.87019117;2022-12-24 à 18:23:09+01:00
2022-12-24T18:23:57+01:00;Antigone;boulevard d'Antigone - 34172 Montpellier;167;239;69;Montpellier;Public;Ville de Montpellier;"{""coordinates"": [3.88881893, 43.6087160590577], ""type"": ""Point""}";43.6087160590577,3.88881893;34172;43.6087160590577, 3.88881893;2022-12-24 à 18:23:57+01:00
2022-12-24T18:24:01+01:00;Saint Roch;rue du Grand Saint Jean - 34172 Montpellier;331;656;50;Montpellier;Public;Ville de Montpellier;"{""coordinates"": [3.87855072, 43.6032914890577], ""type"": ""Point""}";43.6032914890577,3.87855072;34172;43.6032914890577, 3.87855072;2022-12-24 à 18:24:01+01:00
2022-12-24T18:16:51+01:00;Sabines;avenue du Colonel Pavelet - 34172 Montpellier;223;283;78;Montpellier;Public;Montpellier Méditerranée Métropole;"{""coordinates"": [3.8602246, 43.5838326290577], ""type"": ""Point""}";43.5838326290577,3.8602246;34172;43.5838326290577, 3.8602246;2022-12-24 à 18:16:51+01:00
2022-12-24T18:19:50+01:00;Saint-Jean-le-Sec;avenue de Libria - 34270 Saint-Jean-de-Védas;287;290;98;Saint-Jean-de-Védas;Public;Montpellier Méditerranée Métropole;"{""coordinates"": [3.8379312, 43.5708222490577], ""type"": ""Point""}";43.5708222490577,3.8379312;34270;43.5708222490577, 3.8379312;2022-12-24 à 18:19:50+01:00
2022-06-01T11:46:47+02:00;GAUMONT-OUEST;;216;250;86;;;;;;;;2022-06-01 à 11:46:47
2022-12-24T18:23:52+01:00;Europa;Rue Poséidon - 34172 Montpellier;479;593;80;Montpellier;Public;Ville de Montpellier;"{""coordinates"": [3.89253074, 43.6078497090577], ""type"": ""Point""}";43.6078497090577,3.89253074;34172;43.6078497090577, 3.89253074;2022-12-24 à 18:23:52+01:00
